subid,vNav1,rest1,peer1,rest2,movieDM,vNav2,peer3,movieTP,Mean_all,Age,Sex
sub-5221422,2.7720408489999997,5.298423965,5.0878732719999995,5.577495689,5.736341265,,5.907547463999999,6.0714664229999995,5.613191346,16.444672,F
sub-5222422,15.42204421,8.852528406000001,6.96451737,10.94950479,16.6942045,12.10331865,30.27238697,19.42116267,15.52571745,6.980492,F
sub-5242131,2.854850327,4.637037599999999,4.509863866,5.431525238,4.6244793060000005,,4.939518822,5.287633774,4.905009767,8.138147,F
sub-5246757,3.2970547,5.211899495,4.8417245069999995,5.885922855,5.463599956,,7.614313641,5.0926406769999994,5.685016855,11.475586999999999,F
sub-5248293,4.862242506,6.242116152,5.431888174,5.281564426,5.485304472,,15.32746489,9.125455564,7.81563228,11.366529,F
sub-5248872,43.35994944,19.67735162,15.92225436,31.30982059,22.46875447,,25.13466757,35.96380351,25.07944202,11.188455000000001,F
sub-5250889,32.16974793,10.05641548,8.207042521,37.65337488,30.947113899999998,,21.95606573,15.33968613,20.69328311,9.263860000000001,F
sub-5255301,5.136841223999999,5.908314445,5.1336146430000005,6.347218016,6.054947662999999,,7.281210709,6.23992881,6.160872381,13.635637,F
sub-5264179,5.299570149,4.609232287,3.899874175,4.23640113,6.244744497999999,4.946975493,3.4219639660000003,5.09521419,4.584571708,18.129020999999998,F
sub-5264335,4.42410207,7.651321868999999,4.749641427,12.68354178,8.760147652999999,,25.436969199999997,10.10699545,11.56476956,10.298311,F
sub-5271979,16.6644884,6.5679133720000005,6.44805899,7.550368454,8.410597976,8.073599317000001,9.317233534,4.840274887,7.189074535,10.021788,F
sub-5272018,5.913168777,15.14707099,11.30322933,27.29361568,20.07708323,,33.65532586,30.57143437,23.00795991,14.347592,F
sub-5279639,7.313827158,17.52850391,13.12652248,12.76714469,9.42739739,,24.12115931,10.76483313,14.62259349,10.823864,F
sub-5281651,43.71973172,8.458304075,5.476316292000001,5.987684463,15.55804512,,75.4170239,22.83192414,22.28821633,15.142026000000001,F
sub-5283235,5.799116718,14.95171256,6.798154047000001,6.161935476,7.933570165,16.907950600000003,20.83297982,7.669571532999999,10.72465393,9.838809,F
sub-5317742,9.021692346,3.7965900739999996,3.4768490410000004,3.685333422,4.345174018,,10.29671907,6.352070972999999,5.325456099,16.757357,F
sub-5319833,4.7841327410000005,5.418588344,4.740205238,5.927549518999999,6.905208695,,9.8691362,10.521350300000002,7.2303397160000005,16.044946,F
sub-5346979,3.65465652,4.4225759280000005,4.5414623160000005,4.680826565,5.222147364,,4.7553373269999994,4.383396465,4.6676243269999995,14.408396,F
sub-5347650,5.709299376000001,5.751018291,4.730424472,7.476168948,8.551861095,,3.704856037,7.12141682,6.222624277,17.788957,F
sub-5359923,4.1388946230000005,6.25029935,8.598793234,16.50944776,8.267314039,,7.197390901,6.114899275,8.823024092999999,8.037303,F
sub-5362987,10.75549136,5.508648432,5.6279157689999995,5.270193293999999,6.301729432,10.29402668,6.356350407000001,8.270827931,6.222610877999999,12.215263,F
sub-5364560,4.4720359489999995,3.15814391,2.972768078,2.961559175,3.1763570810000004,,3.230520924,3.484374719,3.163953981,16.335843,F
sub-5372695,37.48875896,23.21440455,6.222640154,32.91297215,34.27838267,,7.629561272999999,20.25848168,20.75274041,8.718457,F
sub-5378837,26.58472659,16.27185528,22.04584352,34.70057554,30.61351828,,16.52310249,13.16829409,22.22053153,13.515172,F
sub-5380571,6.53933099,8.575971252,8.412529786,12.87945605,15.23669317,,17.17954574,9.644147542999999,11.98805726,15.158453,F
sub-5398395,11.37530819,10.26079695,11.57591916,9.91192956,,,16.69766438,15.60985331,12.81123267,7.817703999999999,F
sub-5416041,2.185468154,4.151027015,3.863705785,4.2752365260000005,4.57432831,2.640166027,4.84622158,5.239573805,4.49168217,17.345425,F
sub-5425825,15.03464088,6.264131914,6.934047248,5.600035256,8.883296957999999,20.55514383,15.48492433,26.17073736,11.55619551,8.157198,F
sub-5427522,4.236805213,9.755595196,7.182323645,7.609890031,9.005065443,,9.580714886,8.376587587000001,8.585029465,9.052589,F
sub-5429531,12.20598821,103.6638157,55.00861593,68.07427038,11.84763209,,285.574547,24.74847085,91.48622532,6.32877,F
sub-5435417,8.564042727999999,9.82842897,10.70962296,12.57012579,13.5175857,,28.04351101,27.50356185,17.02880605,8.315992999999999,F
sub-5436740,18.72311429,49.126175200000006,14.93333045,44.97440693,81.05531323,,42.46834093,57.65050624,48.36801216,7.757472,F
sub-5450456,11.85025118,5.381246319,5.099700178,5.159897944,5.551661292,,6.727699737999999,7.892931051000001,5.968856087000001,14.640543,F
sub-5454529,9.210869353,5.6190598839999994,3.816301913,12.39370164,7.635643166,8.881723925,14.96158811,7.108161164,8.589075979,21.899041,F
sub-5463261,2.742369446,5.777274222000001,5.436329665,5.337228902,7.5577971139999995,,5.044768983,6.497129,5.941754648,18.260438,F
sub-5472356,3.31171634,6.220999493,5.78445866,7.805171377000001,6.986630989,5.247122772,5.208238113999999,5.758979417999999,6.294079675,11.825918,F
sub-5475133,5.0625363839999995,17.83000544,20.6396418,18.3310842,11.33747198,,10.60948403,9.569360845,14.71950805,9.279831,F
sub-5483541,3.4498902389999997,7.399866565,7.801319062999999,12.11681177,7.180103934,,7.592765651000001,7.79532175,8.314364788999999,9.101756,F
sub-5496797,4.948946225,8.167602711,8.778901845,10.67560542,11.81598123,3.249248008,10.56397133,9.074756133,9.846136445,15.231804,F
sub-5504579,18.14235887,13.52498076,15.83371435,15.47415078,21.62563222,,,,16.61461953,9.627538000000001,F
sub-5521703,122.6642307,15.95185425,48.45787207,28.67065049,29.53230559,334.7574725,289.808472,34.77634487,74.53291655,8.647273,F
sub-5537803,7.074624052000001,9.701657402999999,4.192318801,10.84482225,9.311103231,7.724471203999999,4.251109851,4.64555052,7.157760343,12.560232000000001,F
sub-5540199,7.368382303,12.87796971,4.7572213560000005,14.20430582,7.413937584,,24.90213816,12.43766218,12.76553913,11.6013,F
sub-5540614,5.304818987,9.561740336,6.422014776,14.67350613,7.36242961,,37.68195936,11.80888137,14.5850886,13.326716000000001,F
sub-5550923,18.01747516,6.031909109,7.296937014,6.168891252000001,7.3786530720000005,,12.28979179,15.48225553,9.108072961,8.847592,F
sub-5557548,7.942500449,10.41865942,11.13960046,19.44242906,7.554761999999999,7.942845369,20.97251042,6.2881314889999995,12.63601548,11.341318,F
sub-5577709,30.35789938,7.74311321,5.948695131,7.339939455,8.066142209,,7.533586077000001,9.144990576,7.629411108999999,15.793633999999999,F
sub-5581417,7.548852745,6.843112114,9.806612641000001,7.212198897,7.2753095960000005,8.503286685,8.165111817,,7.8604690129999994,11.815536999999999,F
sub-5588423,7.94913002,,6.201937114,8.800332966000001,13.32471576,,12.57451495,12.67841922,10.715983999999999,10.402806,F
sub-5592961,25.34150324,30.17026526,55.11057933,28.76251997,35.07144314,,68.34179327,12.82128963,38.37964843,6.103924,F
sub-5598668,3.157263678,4.2874971219999995,5.350066563,3.59874412,4.21920024,7.8566765929999995,3.322216296,3.471936935,4.041610213,14.845767000000002,F
sub-5602755,2.602845673,4.663628833,4.253332791,4.670662508,4.744656051000001,3.421865383,5.294025295,5.035153371,4.776909808,14.462468,F
sub-5625110,24.82722846,5.59999989,4.906502614,4.6278683780000005,7.709229436,,9.50759689,19.66220115,8.668899726,11.527378,F
sub-5628721,5.274649881,6.990849258,6.446819354,8.67821262,7.87152586,,11.37943556,7.732814342,8.183276166,11.856148,F
sub-5643154,2.821100777,,5.09021942,,5.3878026320000005,,38.78314463,49.98603154,24.81179956,5.5809940000000005,F
sub-5651701,5.304793946,8.174780258,6.77922378,7.160161047000001,8.802959906,4.927132597,6.044996772999999,7.657192963,7.436552455,12.904631,F
sub-5659217,11.62101426,4.706111805,5.046998361,5.271213695,5.151318319,,6.804069145,6.4547423760000004,5.57240895,14.486995,F
sub-5671475,10.32643332,12.21810185,15.02589155,15.85676631,13.60619749,,13.54982048,11.88345112,13.69003813,9.477412,F
sub-5677444,17.47972536,6.570417077999999,6.427381243999999,6.696999507999999,10.07575784,,85.34902116,63.839613899999996,29.82653179,10.189252999999999,F
sub-5684820,3.047845407,6.739444037,7.125792305,7.015675915,7.493065849,,15.49878935,6.605713958,8.413080235,15.224160999999999,F
sub-5687013,4.703958398,5.227727132,4.9433112999999995,6.877321226,6.981291607,,7.442256244,10.13117031,6.933846303999999,12.784166,F
sub-5696555,9.307968925,6.5272099,4.551126428,6.248356459,6.565430385,,10.60296776,6.542015591,6.839517754,7.486994999999999,F
sub-5708606,3.1757702460000004,3.994416563,2.944148699,2.968797255,3.176382339,,3.628139992,2.249773743,3.160276432,19.286561,F
sub-5709435,4.432027032,30.15215106,22.58739454,86.64889976,15.68556496,,47.44434655,21.86712032,37.39757953,6.456992,F
sub-5723216,5.913094496,5.315535349,5.533690415,6.613891679,7.460696999,,10.07216956,7.831437081,7.1379035129999995,7.908510000000001,F
sub-5727742,3.1832433069999997,4.914771111,8.21737149,6.087696375,6.259968467,,5.956840211,7.12836885,6.42750275,9.586356,F
sub-5753933,20.91785503,7.051401383,7.1285459939999996,9.273177553,17.33116832,,43.933879499999996,27.35098535,18.67819302,16.527264000000002,F
sub-5754263,13.97408307,21.48375286,10.64795813,11.62312062,8.019654495,,47.8220795,6.712666511,17.71820535,11.127766000000001,F
sub-5759676,7.241439142999999,11.26318428,44.71216762,18.50453619,8.224390221,,51.61814872,10.77716341,24.18326507,5.866187,F
sub-5776226,3.246408264,7.710433881,6.854523674,6.696668058999999,6.963959182999999,,7.5915514239999995,6.673669397,7.0818009360000005,14.167351000000002,F
sub-5788704,6.970827965,5.163240192,4.699830078,7.707418,6.149353755,,5.805875562000001,12.17177261,6.9495816999999995,11.432352,F
sub-5794459,3.2181443589999996,7.912680254,6.504506582,4.949582048,5.231774194,,6.8197286660000005,5.548118995,6.161065122999999,10.274013,F
sub-5794726,9.777523828,5.4658762,5.434396473,5.346398323,6.478951509,,80.22481473,9.316334881,18.71112869,8.42334,F
sub-5814252,15.84521788,7.648211395,8.450088074,5.29531401,14.71627799,,7.020318361,14.21645745,9.557777879,10.051791,F
sub-5834050,20.969279999999998,19.73020776,10.41293328,28.09926039,36.82957773,,45.53801043,21.71243101,27.05373677,7.9163809999999994,F
sub-5836317,5.9321146460000005,7.66401581,7.913223562000001,8.059154949,8.95436805,,7.652926682,10.49897262,8.457110279,14.115445999999999,F
sub-5847726,10.44125873,11.50668536,11.49136623,9.586621691,14.02215178,,10.19503344,8.657447971,10.90988441,13.058521,F
sub-5856575,6.821761181,18.62641449,20.31830029,32.28886983,10.36179913,6.491419602000001,9.229653939,9.251096351000001,16.67935567,9.65754,F
sub-5871610,4.94471003,6.411073701,5.98532524,6.659186685,8.099845211,,6.2621977289999995,8.704830762,7.020409888,15.727469000000001,F
sub-5880494,5.023534354,8.963897186,8.146694028999999,10.84416118,10.53991516,,20.97331586,18.827433600000003,13.04923617,7.1173850000000005,F
