ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-insula,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-paracentral,ctx-lh-parahippocampal,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-transversetemporal,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-insula,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-paracentral,ctx-rh-parahippocampal,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-transversetemporal,sub-type
2.9624635578400005,2.77198064649,2.2208273605400004,3.8955053020499997,2.9704139853400005,2.7687462255299997,3.2237185159500004,3.1493244984099995,2.9284901274799995,2.4780209088,3.0050415510799997,2.21274093218,2.8510246718700003,3.1785376138,2.79373882041,3.3280887216000004,2.82452961597,2.9505346394400003,2.95317369383,1.79450282634,2.39689118048,2.8018414410299997,2.87764209935,2.76067757087,3.1580887991299997,2.74432283608,3.0643397354400004,2.49154055838,3.23225882282,2.8342138685000005,2.35786479788,3.07780603417,2.8920456210400003,2.25680939777,3.8454878235,3.2393438858700003,2.8850759257300003,3.22129415001,3.39552433118,3.0586614141500004,2.4725484307900003,2.98383510823,2.30550147469,2.63000372029,3.43160561884,2.77427135635,3.6063640232800003,3.09423944005,2.97447766227,2.9104879852900005,1.74813855345,2.41013661396,2.83121671848,2.82711993398,2.8418721727599996,3.24076564957,2.5843464567,3.01013550697,2.45282054591,3.33898797832,2.91326745537,2.32124571279,5020062_HCP
3.3176576707999996,3.36020364433,1.9951552877,4.00024036247,3.1654895980199997,2.8727018853099997,3.1006602538,3.3230110447099994,2.91215689292,2.42270013212,2.8695891842699996,2.37846005694,2.68327727602,3.15065637792,2.93895185537,3.2255213830500002,3.0788414666299997,3.21886955763,2.8611656991000003,1.69261546789,2.556403392,2.9684491360100003,3.05415230397,2.86176109472,3.27182468344,2.86254031488,3.41764182421,2.7026870176899997,3.4190939532599995,2.9295695253500003,2.75627830496,3.1277025307999997,2.90423349567,2.19322100538,3.78248894617,3.17450654883,2.79732573251,3.12627693754,3.4724808138300003,3.0158950941400002,2.5118564791,2.9125618897099996,2.30743740479,2.53160228739,3.39935364745,2.8811019917,3.15025419273,2.9115862622299997,3.03241951087,2.8658039089200003,1.6663660995899998,2.41422938657,2.75052511294,2.93377378775,2.77588389585,3.406948574,2.55376721703,3.11583148173,2.5947142427700003,3.31762510745,2.90824652541,2.5054558563,5023141_HCP
2.8347998561799996,2.85250581285,2.00219212188,3.6280214638,2.79475691691,2.65075873874,2.9393621316500003,3.26825984929,2.79838313105,2.16978967333,2.7908723165,2.14284769979,2.86560269658,2.9551859737,2.50674990084,3.36081220147,2.8262156618700005,2.61641217367,2.8166444594,1.63012003757,2.28232250712,2.51328764426,2.69361712953,2.5358188899900003,3.05420452912,2.64422057363,3.01611422334,2.4941721611900003,2.89568163042,2.7928628227099996,2.50553217649,2.78831656885,2.8216796933099997,1.9697609642099998,3.4788312985800003,2.8381589811000003,2.63041354339,3.02563924929,3.4030978840900006,2.91240931885,2.33834628173,2.6914664764099996,1.9368911168599998,2.73077676473,3.24111258797,2.4699058938599996,2.8075460455799996,2.90621705132,2.83263314744,2.94128369173,1.5634917642,2.2974579370400003,2.80044288333,2.62567854324,2.6182014847799997,2.8013913774,2.6526912491,2.9105008960000003,2.44482446195,3.1258981338200003,2.8761284958399997,2.38726039536,5027335_HCP
3.16466514681,3.47133789319,2.33679278457,3.22302722922,3.41066888629,2.9390153922000004,3.4449537963199997,3.91525123945,3.0870019942,2.57655676339,3.17142542359,2.2811297117900002,3.06842290254,3.47695642018,3.11989505148,3.07677878834,3.42684847668,3.39825728385,3.11893961559,2.0995825321,2.75402593569,3.1093726943299997,3.19712943865,3.04585757359,3.07261339124,3.12103375125,3.75493535815,2.8582080700700003,3.6063997449,3.1359297327499998,3.09088452241,3.21887569005,3.4172533545999997,2.4642846331,3.8569910455800005,3.26044803078,3.06852851711,3.3228008632,3.8804307116500003,2.87878339523,2.65097601023,3.11535874674,2.49785460843,2.73371754024,3.4410174831199996,3.09589801339,2.8270961044200003,3.55204911519,3.4577739165800003,3.0418253978500003,1.90849073062,2.7862859120300003,3.18856411412,3.15012965552,3.0486206143700003,3.3874761927900003,2.9570623686900004,3.5501759503900003,2.77341961553,3.56752791345,3.3497455764599997,2.85833188733,5028016_HCP
2.9707828394700004,2.96555102883,2.22079791103,3.7922368365900003,3.02076512797,2.88230300937,3.1707535776499998,3.31009621931,2.8375762449,2.2766906803,3.0281105154400003,2.31106065931,2.7585358862000002,3.1382621018799997,2.7901730937,2.7354890846599997,2.94964568204,3.08314946725,2.98292433571,2.04535668278,2.40046591591,3.0178269957,2.98256139754,2.91989606857,3.23854869055,2.9217861439,3.34862326723,2.6287729683000003,3.1888460470099997,2.93738251385,2.9980551368799997,3.0203903371200003,2.8251498086,2.18371993363,3.5942044751099997,3.01134650964,2.79233039022,3.01136145818,3.4466374079000004,2.87542313924,2.45121799659,2.9877948595999997,2.29073738529,2.82902552078,3.20574449106,2.88001120244,2.44165209656,2.9722981833999995,3.0802196348199997,2.8804222587,1.82138284747,2.33130156065,2.99317451878,2.85887686399,2.79385186723,3.02844721695,2.78074801874,3.2556931022400004,2.6907780306099998,3.1322081617000004,2.94450108247,2.70379888246,5033713_HCP
2.89444966939,3.20272823698,2.0448777016900004,3.50930583755,3.2210434914899997,2.81511017524,3.19757467501,3.3402910661900003,2.94738932172,2.34534897538,2.8688288128900004,2.3182018758900003,2.56865644605,3.52371551046,2.61682901593,2.96533347073,2.97468243738,3.1760525883099997,2.87621466903,1.52470590262,2.37308134077,2.97356110881,2.8182023300599996,2.7446285366,3.1439585481700005,2.8410400491799996,3.1584649726,2.54206067594,3.30622350566,3.10382927676,2.69051394347,3.0139404482099996,2.7331671283200003,2.05529114933,3.1037941843700003,3.0151848055,2.8258203976700003,3.36195502576,3.39906374384,2.8233161406800003,2.47616241785,3.1239008554299996,2.16485990014,2.7955400017,3.53044108943,2.75978670897,3.1433884430799997,2.9346215801200004,3.0257899909400003,2.8510053732599996,1.51411639976,2.30795163198,2.8868652726499997,2.56230622905,2.74233492315,3.23464864797,2.66667513026,3.0933932819599996,2.4661882093400003,3.2792119217,2.77568195945,2.5890141055,5048730_HCP
2.8198553956200003,3.0760994942199997,2.15529072502,3.4392791390699995,3.1332845472099997,2.92881025713,3.1879790781099997,3.24074046935,2.7717961522400003,2.4407029842299997,3.0436890940900003,2.19971779965,2.68904221705,3.32803631548,2.8678148359599995,3.45825793615,3.05825831755,3.2926335682300003,3.0468717764899997,1.59689621265,2.44626245312,2.84171210448,2.7804830750800003,2.89354257569,2.87020322334,2.79107288814,3.3087198775499997,2.73465538895,3.39924513975,3.2056442128,3.21509922893,2.87611921759,2.99974010938,2.22292782016,3.42361807828,3.1968502938,2.8589319334400005,3.2542402062299995,3.12214208699,2.54077346528,2.55435168764,3.02174477334,2.34022978465,2.9460306664999996,3.4740468957199995,2.8265125104799997,3.2347553798299997,2.96530760008,3.2475705856,3.19162326367,1.4965521918399998,2.49259414498,2.8912771708,2.818533644,2.92758049658,3.38110589107,2.90084441794,3.1500441623000004,2.76273399611,3.4026776911799996,3.08390953742,2.7293512072299997,5055462_HCP
2.6978110311799997,3.00617482504,2.09029577784,3.7906746546800005,2.9905518517400003,2.80836167565,3.2630353164,3.4652672190900002,2.7139602392900004,2.4310638367900004,2.71792475056,2.2829308358500002,2.87830964859,3.34836063458,2.8387732633200002,2.6418472804900004,2.98553895783,3.0302730546599994,2.67131787671,1.8004949733900002,2.40988941116,2.7868127136400003,3.01436890524,2.7264424593400003,3.34856813929,2.82978662507,3.18012246818,2.42947770751,3.02108689786,2.93812410981,2.6125902978499997,2.70418594142,2.6282338326400003,2.24953217157,3.9294082841800004,3.30352549009,2.89245942814,3.0873289902900005,3.19603408928,2.73026751813,2.48983154898,3.01545504621,2.28474735956,2.78212275233,3.36080202588,2.7749289494700005,2.3357894154400003,2.8288919919200004,2.8654167818,3.00706568968,1.59244713291,2.2153123679099997,2.90440042213,2.80475001394,2.7295900074299997,3.09445946431,2.7533153545999998,3.04389809753,2.4791854166,3.1095188870499997,2.8927416678299998,2.55887075589,5059889_HCP
3.4819694704300006,3.32306541864,2.4418069692200004,3.8444949076099997,3.37409820807,3.1981569687099998,3.3974455353099997,3.7226163383800004,3.23584706613,2.61760495361,3.54563807423,2.38762694095,3.01406956479,3.65413695828,3.15576754295,3.41003911565,3.1269289318599998,3.38770113635,3.3464696929900004,1.9481313443200001,2.62265338328,3.3870857590900005,3.19918017133,3.15705092604,3.6470560683199995,3.3936301601300003,3.81193112102,2.9662572521399997,3.64679338245,3.45878466514,3.30361099195,2.79301965023,3.0096684806800003,2.49559005966,4.13359750217,3.27090819045,3.28918162022,3.3439607307099997,3.6745161003400004,3.0946251439999997,2.64554156255,3.4575185309599994,2.4418861948500004,3.11842423239,3.69595152799,3.01611903144,3.29815061027,3.48687404964,3.54495009633,3.2718654863200003,1.7641179891900003,2.63756912636,3.11536457181,3.0578866720200004,3.1885618706,3.75379351986,3.1844115080199997,3.6465341277800007,2.9412042022400002,3.7088940810800004,3.4325669977599995,3.11371858615,5063769_HCP
3.0535332816000005,3.10906693227,2.22711917575,3.8348896665599996,3.2140292996,2.9231798798699997,3.10591056496,3.30146608114,2.65822978932,2.47585680425,3.2031294015900005,2.03957513859,2.81761175581,3.1793724511900003,2.58485549104,2.92766588509,3.0655543597099997,3.18634332085,2.98842658402,1.9249459865,2.48179887539,2.86441167478,2.89966868601,2.88546429597,3.4641706869199997,2.92415159551,3.1367431046700003,2.5242132371,3.18930056032,3.0272556807999997,2.56183051858,2.86957601414,2.9009399380699996,2.14751344672,3.21859746038,2.98068269482,2.8866812356700002,2.9846033665499996,3.3018100903099996,2.8324375636,2.47227450307,3.2839485968,2.0929957261900003,2.73431621671,3.00290756452,2.56761302085,2.9796164750400003,2.88020641637,3.1974608389999997,2.9951158939099995,1.8488565703,2.3933617723,2.72235058454,2.8083778867,2.8264326381200005,3.31295362978,2.7432520779600003,3.0821161121900005,2.52503677171,3.1649665042799997,2.89659615494,2.88507059597,5066617_HCP_run-01
